Deposit number,Lat.,Long.,Age (Ma),Erosion rate (km/My) ,Ind. depth e-rate (km/My),Modern MAP (mm),Slope (o) (90m),Slope (o) (10km),Frequency
144,30.384,-109.73,52,0.04,-,474.24,12.57,12.69169438,8
145,19.078,-102.03,33,0.06,-,798.20,2.38,6.738371349,3
146,31.056,-110.42,63,0.03,-,497.20,8.67,11.8487861,12
147,31.117,-110.45,63,0.03,-,497.20,1.89,7.661297175,12
148,27.168,-109.02,60,0.03,-,715.84,3.35,8.225338269,4
149,30.334,-109.63,53,0.04,-,474.24,17.88,14.14242176,8
150,18.944,-101.98,33,0.06,-,798.20,21.16,18.20298858,3
151,26.717,-108.23,57,0.04,-,886.52,32.85,14.70628847,3
152,28.411,-109.8,57,0.04,-,608.16,8.58,8.001024553,4
153,25.668,-107.35,54,0.04,-,1037.80,15.31,13.75330532,3
154,15.319,-92.331,5.8,0.34,-,1892.70,10.88,23.16068098,1
155,19.7,-97.85,17.8,0.11,-,829.68,22.67,14.88717414,1
156,22.25,95.083,16,0.13,-,968.24,1.14,0.956811956,1
157,-37.096,175.56,10.5,0.19,-,1750.30,21.31,15.1867826,1
158,29.554,64.504,21,0.10,-,97.32,4.63,12.73093422,1
159,29.123,62.194,14.9,0.13,-,62.00,1.43,3.163849727,2
160,29.123,62.079,11.5,0.17,-,62.00,1.88,3.121401691,2
161,29.271,61.585,21,0.10,-,80.52,5.73,5.246360414,2
162,9.2833,-79.383,56.5,0.04,-,3031.00,14.29,14.80158416,2
163,8.6333,-82.2,3.4,0.59,-,3234.30,33.19,17.77292847,3
164,8.5,-81.783,5,0.40,-,3234.30,31.51,20.34724979,3
165,7.6333,-80.6,59,0.03,-,1598.60,6.37,7.084490612,2
166,8.4333,-81.5,34,0.06,-,2944.40,12.90,11.42522773,3
167,8.8333,-80.667,32.5,0.06,-,2837.50,8.71,8.439068923,3
168,8.6333,-77.567,49,0.04,-,1803.40,25.89,16.65547237,2
169,-2.0167,146.88,15,0.13,0.10,3615.70,8.93,8.473832106,1
170,-5.1667,151.72,25,0.08,-,3773.90,30.59,18.9836414,2
171,-4.7,141.78,13,0.15,0.15,3471.80,11.57,18.30976649,2
172,-3.2,151.65,24,0.08,-,2995.90,8.01,8.188246591,1
173,-9.3,147.58,4.4,0.45,-,2381.70,26.56,18.27000894,1
174,-2.1167,146.95,13.5,0.15,0.11,3615.70,12.40,11.25515176,1
175,-5.9833,150.47,24,0.08,-,4267.90,3.16,8.581528827,2
176,-5.2,141.13,1.15,1.74,-,5837.60,15.51,21.75502742,2
